>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346
>AT1G21080 | Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr1:7378822-7382275 REVERSE LENGTH=391

>AT1G14930 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5152465-5153035 REVERSE LENGTH=155

>AT1G65970 | Symbols: TPX2 | thioredoxin-dependent peroxidase 2 | chr1:24557527-24558229 REVERSE LENGTH=162

>AT1G17410 | Symbols:  | Nucleoside diphosphate kinase family protein | chr1:5968627-5969780 REVERSE LENGTH=181

>AT1G31880 | Symbols: NLM9, BRX | DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein | chr1:11447804-11450053 FORWARD LENGTH=344

>AT1G77320 | Symbols: MEI1 | transcription coactivators | chr1:29056740-29062710 FORWARD LENGTH=972

>AT1G77500 | Symbols:  | Protein of unknown function (DUF630 and DUF632) | chr1:29121753-29124937 FORWARD LENGTH=879

>AT1G51320 | Symbols:  | F-box and associated interaction domains-containing protein | chr1:19025642-19026769 FORWARD LENGTH=375

>AT1G10940 | Symbols: ASK1, SNRK2-4, SNRK2.4, SRK2A | Protein kinase superfamily protein | chr1:3656050-3658170 REVERSE LENGTH=363

>AT1G14990 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 34 Blast hits to 34 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:5167354-5168151 REVERSE LENGTH=122

>AT1G74770 | Symbols:  | zinc ion binding | chr1:28089695-28094834 REVERSE LENGTH=1259

>AT1G75080 | Symbols: BZR1 | Brassinosteroid signalling positive regulator (BZR1) family protein | chr1:28185709-28187063 FORWARD LENGTH=336

>AT1G14890 | Symbols:  | Plant invertase/pectin methylesterase inhibitor superfamily protein | chr1:5137045-5137704 FORWARD LENGTH=219

>AT1G51330 | Symbols:  | Serine protease inhibitor (SERPIN) family protein | chr1:19028841-19029844 REVERSE LENGTH=193

>AT1G80350 | Symbols: ERH3, AAA1, FRA2, LUE1, ATKTN1, KTN1, FRC2, BOT1, FTR | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:30205499-30208050 REVERSE LENGTH=523

>AT1G14900 | Symbols: HMGA | high mobility group A | chr1:5138665-5139353 REVERSE LENGTH=204

>AT1G15960 | Symbols: NRAMP6, ATNRAMP6 | NRAMP metal ion transporter 6 | chr1:5482202-5485066 REVERSE LENGTH=527

>AT1G14980 | Symbols: CPN10 | chaperonin 10 | chr1:5165930-5166654 REVERSE LENGTH=98

>AT1G14910 | Symbols:  | ENTH/ANTH/VHS superfamily protein | chr1:5139928-5143571 REVERSE LENGTH=692

>AT1G44100 | Symbols: AAP5 | amino acid permease 5 | chr1:16764651-16767223 REVERSE LENGTH=480

>AT1G15000 | Symbols: scpl50 | serine carboxypeptidase-like 50 | chr1:5168613-5169947 FORWARD LENGTH=444

>AT1G31850 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:11431165-11433443 FORWARD LENGTH=603

>AT1G79210 | Symbols:  | N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein | chr1:29796286-29798240 REVERSE LENGTH=235

>AT1G67160 | Symbols:  | F-box family protein with a domain of unknown function (DUF295) | chr1:25124819-25127098 REVERSE LENGTH=450

>AT1G20960 | Symbols: emb1507 | U5 small nuclear ribonucleoprotein helicase, putative | chr1:7302591-7309914 REVERSE LENGTH=2171

>AT1G74780 | Symbols:  | Nodulin-like / Major Facilitator Superfamily protein | chr1:28095916-28097912 FORWARD LENGTH=533

>AT1G65620 | Symbols: AS2 | Lateral organ boundaries (LOB) domain family protein | chr1:24400146-24400745 FORWARD LENGTH=199

>AT1G12680 | Symbols: PEPKR2 | phosphoenolpyruvate carboxylase-related kinase 2 | chr1:4320123-4322269 REVERSE LENGTH=470

>AT1G74790 | Symbols:  | catalytics | chr1:28098912-28101673 FORWARD LENGTH=695

>AT1G77510 | Symbols: ATPDIL1-2, PDI6, ATPDI6, PDIL1-2 | PDI-like 1-2 | chr1:29126742-29129433 FORWARD LENGTH=508

>AT1G43980 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:16687637-16689502 REVERSE LENGTH=621

>AT1G77300 | Symbols: EFS, SDG8, CCR1, ASHH2, LAZ2 | histone methyltransferases(H3-K4 specific);histone methyltransferases(H3-K36 specific) | chr1:29040160-29048810 REVERSE LENGTH=1805

>AT1G80340 | Symbols: GA4H, ATGA3OX2, GA3OX2 | gibberellin 3-oxidase 2 | chr1:30200695-30202163 REVERSE LENGTH=347

>AT1G65985 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:24562578-24568470 REVERSE LENGTH=456

>AT1G51340 | Symbols:  | MATE efflux family protein | chr1:19032021-19034681 FORWARD LENGTH=515

>AT1G31860 | Symbols: AT-IE, HISN2 | histidine biosynthesis bifunctional protein (HISIE) | chr1:11434250-11436530 REVERSE LENGTH=281

>AT1G73450 | Symbols:  | Protein kinase superfamily protein | chr1:27613856-27618635 FORWARD LENGTH=1152

>AT1G21070 | Symbols:  | Nucleotide-sugar transporter family protein | chr1:7376148-7377810 REVERSE LENGTH=348

>AT1G51350 | Symbols:  | ARM repeat superfamily protein | chr1:19035851-19038738 FORWARD LENGTH=666

>AT1G14950 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5157588-5158144 REVERSE LENGTH=155

>AT1G09440 | Symbols:  | Protein kinase superfamily protein | chr1:3045513-3047393 REVERSE LENGTH=466

>AT1G09390 | Symbols:  | GDSL-like Lipase/Acylhydrolase superfamily protein | chr1:3031264-3033415 FORWARD LENGTH=370

>AT1G22840 | Symbols: CYTC-1, ATCYTC-A | CYTOCHROME C-1 | chr1:8079384-8080286 FORWARD LENGTH=114

>AT1G09430 | Symbols: ACLA-3 | ATP-citrate lyase A-3 | chr1:3042135-3044978 FORWARD LENGTH=424

>AT1G44010 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227

>AT1G80360 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394

>AT1G74720 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081

>AT1G65980 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162

>AT1G44000 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260

>AT1G75260 | Symbols:  | oxidoreductases, acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513

>AT1G54440 | Symbols:  | Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637

>AT1G67150 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408

>AT1G14970 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562

>AT1G73470 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351

>AT1G14960 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153

>AT1G73460 | Symbols:  | Protein kinase superfamily protein | chr1:27620122-27624899 FORWARD LENGTH=1169

>AT1G09450 | Symbols:  | Protein kinase superfamily protein | chr1:3049066-3052858 FORWARD LENGTH=599

>AT1G36940 | Symbols:  | unknown protein; Has 21 Blast hits to 21 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 21; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:14004158-14004706 FORWARD LENGTH=182

>AT1G51355 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G20898.1); Has 52 Blast hits to 52 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:19041475-19041825 FORWARD LENGTH=116

>AT1G12660 | Symbols:  | Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant thionin (PR-13) family with the following members: At1g66100, At5g36910, At1g72260, At2g15010, At1g12663, At1g12660. | chr1:4308943-4309583 FORWARD LENGTH=137

>AT1G75130 | Symbols: CYP721A1 | cytochrome P450, family 721, subfamily A, polypeptide 1 | chr1:28200073-28201911 REVERSE LENGTH=505

>AT1G21120 | Symbols:  | O-methyltransferase family protein | chr1:7395331-7396640 REVERSE LENGTH=373

>AT1G09740 | Symbols:  | Adenine nucleotide alpha hydrolases-like superfamily protein | chr1:3154603-3155834 FORWARD LENGTH=171

>AT1G21110 | Symbols:  | O-methyltransferase family protein | chr1:7390110-7391419 REVERSE LENGTH=373

>AT1G50900 | Symbols: GDC1 | Ankyrin repeat family protein | chr1:18866272-18867014 FORWARD LENGTH=175

>AT1G37000 | Symbols:  | Beta-galactosidase related protein | chr1:14036038-14037145 FORWARD LENGTH=219

>AT1G77330 | Symbols:  | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr1:29063215-29064447 REVERSE LENGTH=307

>AT1G80400 | Symbols:  | RING/U-box superfamily protein | chr1:30225864-30227360 FORWARD LENGTH=407

>AT1G74740 | Symbols: CPK30, CDPK1A, ATCPK30 | calcium-dependent protein kinase 30 | chr1:28080199-28082476 REVERSE LENGTH=541

>AT1G17370 | Symbols: UBP1B | oligouridylate binding protein 1B | chr1:5951842-5954825 REVERSE LENGTH=419

>AT1G09750 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:3157541-3158960 FORWARD LENGTH=449

>AT1G49670 | Symbols: NQR | ARP protein (REF) | chr1:18381591-18386021 REVERSE LENGTH=629

>AT1G75220 | Symbols:  | Major facilitator superfamily protein | chr1:28229412-28232606 REVERSE LENGTH=487

>AT1G65560 | Symbols:  | Zinc-binding dehydrogenase family protein | chr1:24371608-24373673 REVERSE LENGTH=350

>AT1G65570 | Symbols:  | Pectin lyase-like superfamily protein | chr1:24374098-24375846 REVERSE LENGTH=397

>AT1G49660 | Symbols: AtCXE5, CXE5 | carboxyesterase 5 | chr1:18378777-18379736 REVERSE LENGTH=319

>AT1G21100 | Symbols:  | O-methyltransferase family protein | chr1:7386991-7388318 REVERSE LENGTH=373

>AT1G29020 | Symbols:  | Calcium-binding EF-hand family protein | chr1:10120497-10122902 REVERSE LENGTH=564

>AT1G77310 | Symbols:  | BEST Arabidopsis thaliana protein match is: wound-responsive family protein (TAIR:AT1G21610.1); Has 493 Blast hits to 482 proteins in 163 species: Archae - 0; Bacteria - 100; Metazoa - 172; Fungi - 66; Plants - 65; Viruses - 7; Other Eukaryotes - 83 (source: NCBI BLink). | chr1:29051671-29056179 FORWARD LENGTH=717

>AT1G77480 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:29114946-29117150 REVERSE LENGTH=432

>AT1G12610 | Symbols: DDF1 | Integrase-type DNA-binding superfamily protein | chr1:4290205-4290834 REVERSE LENGTH=209

>AT1G80410 | Symbols: EMB2753 | tetratricopeptide repeat (TPR)-containing protein | chr1:30227963-30234832 REVERSE LENGTH=897

>AT1G70820 | Symbols:  | phosphoglucomutase, putative / glucose phosphomutase, putative | chr1:26705594-26708034 FORWARD LENGTH=615

>AT1G70790 | Symbols:  | Calcium-dependent lipid-binding (CaLB domain) family protein | chr1:26700724-26702127 FORWARD LENGTH=185

>AT1G12640 | Symbols:  | MBOAT (membrane bound O-acyl transferase) family protein | chr1:4303586-4305666 REVERSE LENGTH=462

>AT1G12620 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:4294883-4296748 REVERSE LENGTH=621

>AT1G12630 | Symbols:  | Integrase-type DNA-binding superfamily protein | chr1:4298897-4299475 FORWARD LENGTH=192

>AT1G65610 | Symbols: ATGH9A2, KOR2 | Six-hairpin glycosidases superfamily protein | chr1:24391823-24395261 REVERSE LENGTH=623

>AT1G75170 | Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:28214405-28215686 FORWARD LENGTH=296

>AT1G49680 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G28870.1); Has 22889 Blast hits to 1261 proteins in 188 species: Archae - 2; Bacteria - 20934; Metazoa - 922; Fungi - 109; Plants - 147; Viruses - 121; Other Eukaryotes - 654 (source: NCBI BLink). | chr1:18386867-18387166 FORWARD LENGTH=99

>AT1G50880 | Symbols:  | F-box and associated interaction domains-containing protein | chr1:18860837-18861982 FORWARD LENGTH=279

>AT1G36675 | Symbols:  | glycine-rich protein | chr1:13867568-13869490 FORWARD LENGTH=268

>AT1G23180 | Symbols:  | ARM repeat superfamily protein | chr1:8216125-8219515 FORWARD LENGTH=834

>AT1G09770 | Symbols: ATCDC5, CDC5, ATMYBCDC5 | cell division cycle 5 | chr1:3162002-3165122 FORWARD LENGTH=844

>AT1G75200 | Symbols:  | flavodoxin family protein / radical SAM domain-containing protein | chr1:28220849-28223597 REVERSE LENGTH=647

>AT1G80390 | Symbols: IAA15 | indole-3-acetic acid inducible 15 | chr1:30221780-30222702 REVERSE LENGTH=179

>AT1G74750 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:28086800-28089367 FORWARD LENGTH=855

>AT1G75210 | Symbols:  | HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase | chr1:28223990-28228751 FORWARD LENGTH=642

>AT1G44080 | Symbols:  | F-box family protein with a domain of unknown function (DUF295) | chr1:16753944-16755670 REVERSE LENGTH=347

>AT1G21140 | Symbols:  | Vacuolar iron transporter (VIT) family protein | chr1:7404464-7405066 FORWARD LENGTH=200

>AT1G09780 | Symbols:  | Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent | chr1:3165550-3167812 REVERSE LENGTH=557

>AT1G09790 | Symbols: COBL6 | COBRA-like protein 6 precursor | chr1:3168568-3170819 REVERSE LENGTH=454

>AT1G09760 | Symbols: U2A' | U2 small nuclear ribonucleoprotein A | chr1:3159476-3161603 REVERSE LENGTH=249

>AT1G75190 | Symbols:  | unknown protein; Has 7306 Blast hits to 3858 proteins in 279 species: Archae - 15; Bacteria - 134; Metazoa - 3314; Fungi - 546; Plants - 228; Viruses - 207; Other Eukaryotes - 2862 (source: NCBI BLink). | chr1:28219598-28219993 FORWARD LENGTH=131

>AT1G49730 | Symbols:  | Protein kinase superfamily protein | chr1:18402618-18405638 REVERSE LENGTH=693

>AT1G79220 | Symbols:  | Mitochondrial transcription termination factor family protein | chr1:29799227-29800426 FORWARD LENGTH=399

>AT1G50870 | Symbols:  | F-box and associated interaction domains-containing protein | chr1:18855147-18856337 FORWARD LENGTH=396

>AT1G65590 | Symbols: HEXO3, ATHEX1 | beta-hexosaminidase 3 | chr1:24385996-24390989 FORWARD LENGTH=535

>AT1G75180 | Symbols:  | Erythronate-4-phosphate dehydrogenase family protein | chr1:28216150-28217911 REVERSE LENGTH=315

>AT1G09800 | Symbols:  | Pseudouridine synthase family protein | chr1:3177121-3180336 REVERSE LENGTH=372

>AT1G50890 | Symbols:  | ARM repeat superfamily protein | chr1:18862295-18865752 REVERSE LENGTH=821

>AT1G70810 | Symbols:  | Calcium-dependent lipid-binding (CaLB domain) family protein | chr1:26704207-26705091 FORWARD LENGTH=165

>AT1G21130 | Symbols:  | O-methyltransferase family protein | chr1:7399170-7400470 REVERSE LENGTH=373

>AT1G65580 | Symbols: FRA3 | Endonuclease/exonuclease/phosphatase family protein | chr1:24377598-24383940 REVERSE LENGTH=1101

>AT1G70800 | Symbols:  | Calcium-dependent lipid-binding (CaLB domain) family protein | chr1:26702757-26703650 FORWARD LENGTH=174

>AT1G09795 | Symbols: ATATP-PRT2, HISN1B, ATP-PRT2 | ATP phosphoribosyl transferase 2 | chr1:3173588-3176690 FORWARD LENGTH=413

>AT1G80380 | Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:30217332-30219784 FORWARD LENGTH=456

>AT1G55890 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:20901364-20902560 FORWARD LENGTH=398

>AT1G65520 | Symbols: ATECI1, ECI1, ECHIC, PEC11 | delta(3), delta(2)-enoyl CoA isomerase 1 | chr1:24361171-24361893 REVERSE LENGTH=240

>AT1G49650 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:18377363-18378487 REVERSE LENGTH=374

>AT1G75230 | Symbols:  | DNA glycosylase superfamily protein | chr1:28234444-28235628 FORWARD LENGTH=394

>AT1G44050 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16739309-16741513 FORWARD LENGTH=734

>AT1G09370 | Symbols:  | Plant invertase/pectin methylesterase inhibitor superfamily protein | chr1:3024901-3025425 FORWARD LENGTH=174

>AT1G50910 | Symbols:  | unknown protein; Has 1105 Blast hits to 802 proteins in 217 species: Archae - 2; Bacteria - 177; Metazoa - 445; Fungi - 210; Plants - 58; Viruses - 6; Other Eukaryotes - 207 (source: NCBI BLink). | chr1:18867083-18869839 REVERSE LENGTH=500

>AT1G75140 | Symbols:  | unknown protein; LOCATED IN: endoplasmic reticulum; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G19370.1); Has 51 Blast hits to 49 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 46; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink). | chr1:28202166-28204019 REVERSE LENGTH=617

>AT1G80370 | Symbols: CYCA2;4 | Cyclin A2;4 | chr1:30214694-30216861 FORWARD LENGTH=461

>AT1G36730 | Symbols:  | Translation initiation factor IF2/IF5 | chr1:13898706-13900025 REVERSE LENGTH=439

>AT1G75150 | Symbols:  | unknown protein; Has 38228 Blast hits to 24529 proteins in 1168 species: Archae - 169; Bacteria - 4103; Metazoa - 14594; Fungi - 5866; Plants - 1861; Viruses - 317; Other Eukaryotes - 11318 (source: NCBI BLink). | chr1:28204709-28208512 REVERSE LENGTH=784

>AT1G12580 | Symbols: PEPKR1 | phosphoenolpyruvate carboxylase-related kinase 1 | chr1:4283635-4285675 FORWARD LENGTH=522

>AT1G70860 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:26718320-26718992 REVERSE LENGTH=65

>AT1G49720 | Symbols: ABF1 | abscisic acid responsive element-binding factor 1 | chr1:18400826-18402354 FORWARD LENGTH=392

>AT1G73850 | Symbols:  | Protein of unknown function (DUF1666) | chr1:27767375-27770386 FORWARD LENGTH=635

>AT1G17380 | Symbols: JAZ5, TIFY11A | jasmonate-zim-domain protein 5 | chr1:5955654-5957070 REVERSE LENGTH=274

>AT1G31885 | Symbols: NIP3;1 | NOD26-like intrinsic protein 3;1 | chr1:11450460-11451985 FORWARD LENGTH=323

>AT1G77360 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:29071983-29073536 REVERSE LENGTH=517

>AT1G44030 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:16724773-16726566 REVERSE LENGTH=597

>AT1G65540 | Symbols:  | LETM1-like protein | chr1:24362382-24366011 REVERSE LENGTH=736

>AT1G09380 | Symbols:  | nodulin MtN21 /EamA-like transporter family protein | chr1:3026351-3029322 REVERSE LENGTH=374

>AT1G77470 | Symbols: RFC3, RFC5 | replication factor C subunit 3 | chr1:29112194-29114323 REVERSE LENGTH=369

>AT1G36745 | Symbols:  | unknown protein; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink). | chr1:13911137-13911679 FORWARD LENGTH=110

>AT1G23190 | Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583

